City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,nyandoma,61.669,40.1991,-30.89,100,99,0.93,RU,1704173076
216,emerald,-23.5333,148.1667,31.3,49,78,3.6,AU,1704173078
217,santa elena de uairen,4.6167,-61.1333,21.06,79,89,1.84,VE,1704173079
218,essaouira,31.5125,-9.77,8.72,42,2,0.51,MA,1704173079
219,labrador city,52.9463,-66.9114,-11.05,73,100,5.14,CA,1704173080
220,wailua homesteads,22.0669,-159.378,24.24,86,100,5.66,US,1704173081
221,akropong,5.9746,-0.0854,24.53,87,29,1.56,GH,1704173082
222,aykhal,66.0,111.5,-30.14,99,100,2.55,RU,1704173083
223,ugoofaaru,5.6667,73.0,27.28,79,100,4.81,MV,1704173084
224,bridgewater,44.3835,-64.5155,-3.18,74,20,4.12,CA,1704173085
225,berdyansk,46.7503,36.7944,6.99,94,100,8.72,UA,1704173086
226,priob'ye,62.5206,65.5964,-28.32,96,38,3.48,RU,1704173087
227,arraial do cabo,-22.9661,-42.0278,23.22,82,100,3.71,BR,1704173088
228,tandil,-37.3217,-59.1332,17.6,89,12,1.82,AR,1704173089
229,isafjordur,66.0755,-23.124,3.57,96,100,5.1,IS,1704173090
230,al jubayl,27.0112,49.6583,18.97,63,0,4.95,SA,1704173091
231,balasore,21.4942,86.9317,25.09,32,0,3.52,IN,1704173091
232,sete lagoas,-19.4658,-44.2467,19.49,97,99,2.78,BR,1704173092
233,aioun,16.6614,-9.6149,19.57,13,98,4.38,MR,1704173093
234,uman,48.7484,30.2218,5.75,69,100,10.66,UA,1704173095
235,dudinka,69.4058,86.1778,-30.77,97,44,2.36,RU,1704173096
236,nova vicosa,-17.8919,-39.3719,23.75,91,100,1.1,BR,1704173098
237,saipan,15.1355,145.701,29.39,74,40,5.66,MP,1704173099
238,soe,-9.8607,124.284,31.92,36,60,2.95,ID,1704173100
239,tazovsky,67.4667,78.7,-31.57,94,17,3.83,RU,1704173101
240,trondheim,63.4305,10.3951,-4.95,65,1,1.79,NO,1704172945
241,fontanelas,38.8472,-9.4372,16.55,96,100,5.79,PT,1704173103
242,walvis bay,-22.9575,14.5053,18.23,69,2,2.56,NA,1704172851
243,tambopata,-12.7333,-69.1833,22.83,99,86,1.17,PE,1704173106
244,kafir qala,34.6667,61.0667,7.24,47,84,8.5,AF,1704173107
245,allapalli,19.4167,80.0667,27.72,48,4,1.09,IN,1704173108
246,zouerate,22.7187,-12.4521,17.29,18,100,3.37,MR,1704173109
247,salym,60.0625,71.4789,-20.42,96,100,4.34,RU,1704173110
248,midelt,32.6852,-4.7451,3.8,67,7,0.88,MA,1704173111
249,gizo,-8.103,156.8419,29.6,71,52,0.6,SB,1704173112
250,byron bay,-28.65,153.6167,24.84,85,100,6.24,AU,1704173113
251,eyl,7.9803,49.8164,24.44,68,98,8.51,SO,1704173114
252,tocache,-8.1842,-76.5125,21.59,98,98,0.51,PE,1704173115
253,mana,5.6592,-53.7767,25.28,81,10,4.74,GF,1704173116
254,yala,6.3333,101.25,31.22,55,59,3.12,TH,1704173117
255,pyt-yakh,60.7499,72.8582,-25.19,95,100,4.68,RU,1704173117
256,tossa de mar,41.7325,2.9338,8.73,79,64,3.78,ES,1704173119
257,bandon,51.7469,-8.7425,10.77,98,100,2.34,IE,1704173120
258,pushkinskiye gory,57.0209,28.9103,-17.35,85,62,3.65,RU,1704173120
259,petropavl,54.8753,69.1628,-8.01,86,100,8.0,KZ,1704173121
260,tual,-5.6667,132.75,28.87,75,100,3.24,ID,1704173122
261,naze,28.3667,129.4833,19.51,50,6,1.96,JP,1704173123
262,al kharijah,25.4514,30.5464,11.93,71,0,3.37,EG,1704173124
263,namibe,-15.1961,12.1522,21.57,68,13,3.88,AO,1704173125
264,ulsteinvik,62.3432,5.8487,3.07,67,65,4.45,NO,1704173126
265,coquimbo,-29.9533,-71.3436,15.85,88,0,0.0,CL,1704172996
266,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.65,PT,1704173128
267,fale old settlement,-9.3852,-171.2468,29.0,69,94,1.86,TK,1704173129
268,utrik,11.2278,169.8474,27.48,73,73,7.79,MH,1704173130
269,kingston,17.997,-76.7936,25.53,83,75,2.06,JM,1704173131
270,turaif,31.6725,38.6637,7.14,93,100,2.06,SA,1704173131
271,tagta,41.6504,59.9164,-5.03,100,40,0.0,TM,1704173132
272,ghat,24.9647,10.1728,14.26,23,8,2.62,LY,1704173133
273,college,64.8569,-147.8028,-23.03,75,40,0.0,US,1704173134
274,copala,16.65,-98.9833,23.8,61,4,1.52,MX,1704173135
275,igarka,67.4667,86.5833,-27.17,100,95,1.95,RU,1704173136
276,afaahiti,-17.75,-149.2833,26.93,82,100,4.24,PF,1704172996
277,gwanda,-20.9333,29.0,19.75,82,72,6.23,ZW,1704173138
278,jeremoabo,-10.075,-38.4808,21.45,94,8,2.06,BR,1704173138
279,pago pago,-14.2781,-170.7025,27.55,100,75,3.09,AS,1704173139
280,surgeres,46.1,-0.75,11.96,80,100,7.11,FR,1704173140
281,nar'yan-mar,67.6713,53.087,-25.5,100,89,1.79,RU,1704173141
282,vila velha,-20.3297,-40.2925,22.97,95,100,1.34,BR,1704172978
283,gorontalo,0.5412,123.0595,31.39,66,76,1.75,ID,1704173143
284,usinsk,65.9939,57.5281,-27.74,96,6,4.47,RU,1704173144
285,rudsar,37.1376,50.288,8.99,81,18,2.79,IR,1704173145
286,as sulaymaniyah,35.5611,45.4375,1.24,100,98,2.06,IQ,1704173146
287,barabai,-2.5833,115.3833,30.95,74,95,0.96,ID,1704173147
288,colonia,50.9333,6.95,9.77,91,100,7.2,DE,1704172984
289,altai,46.3722,96.2583,-9.24,52,16,2.28,MN,1704173148
290,oruro,-17.9833,-67.15,10.59,67,81,4.11,BO,1704172972
291,fort st. john,56.2499,-120.8529,-9.06,86,100,3.6,CA,1704173150
292,kandi,11.1342,2.9386,20.48,19,18,2.4,BJ,1704173151
293,nizhnevartovsk,60.9344,76.5531,-21.66,77,100,5.0,RU,1704173152
294,san sebastian de la gomera,28.0916,-17.1133,19.2,88,0,0.0,ES,1704173154
295,georgetown,5.4112,100.3354,31.97,66,20,3.09,MY,1704173046
296,kudahuvadhoo,2.6708,72.8944,27.5,78,88,2.6,MV,1704173155
297,nova sintra,14.8667,-24.7167,22.16,62,100,3.22,CV,1704173156
298,howard springs,-12.497,131.047,33.95,57,93,4.34,AU,1704173158
299,constantia,44.1833,28.65,6.5,82,100,3.44,RO,1704173159
300,shimoda,34.6667,138.95,10.2,93,100,3.13,JP,1704173160
301,sarakhs,36.5449,61.1577,8.27,57,100,1.35,IR,1704173161
302,mata-utu,-13.2816,-176.1745,28.25,77,87,4.41,WF,1704173162
